id_funcionario_raw,nome,cpf,cargo,departamento,data_admissao,salario,tipo_contrato,ingestion_id,ingestion_ts,source_system,source_entity,row_seq,raw_row_hash
11,Simone Martins,000.011.100-71,Analista Pleno,COM,2020-02-22,7546.21,CLT,d7cc9a21-778a-4a6a-bda9-b675de59df2d,2026-01-10T10:30:00.000Z,ERP_CORPORATIVO,funcionarios,11,a02acbaf0e27455669e52e91dfb2ff6faac1d2134c0674c3230f6cd8d4fac06d
12,Victor Santos,000.012.100-25,Gerente,COM,2015-06-07,19647.57,PJ,d7cc9a21-778a-4a6a-bda9-b675de59df2d,2026-01-10T10:30:00.000Z,ERP_CORPORATIVO,funcionarios,12,cd4667d3074e78bcece765c6d7a1e6c3cf2a412737302c58973a764b05e148b6
13,Alexandre Pereira,000.013.100-89,Gerente,COM,2024-12-17,19649.55,PJ,d7cc9a21-778a-4a6a-bda9-b675de59df2d,2026-01-10T10:30:00.000Z,ERP_CORPORATIVO,funcionarios,13,419a90947f50392f430fa9149e651ae00d3816fbc9aff97a12eda3c6b0077a60
14,Priscila Martins,000.014.100-32,Analista Sênior,COM,2015-10-01,9088.43,PJ,d7cc9a21-778a-4a6a-bda9-b675de59df2d,2026-01-10T10:30:00.000Z,ERP_CORPORATIVO,funcionarios,14,54e7ff045439bf549f16778d9387f10309289fb27cf863a419b24f3d9711a416
15,Beatriz Souza,000.015.100-96,Analista Pleno,COM,2018-01-04,8075.22,ESTAGIO,d7cc9a21-778a-4a6a-bda9-b675de59df2d,2026-01-10T10:30:00.000Z,ERP_CORPORATIVO,funcionarios,15,102463d8cc4c027cced4a3135a5ac7f1cb9209289c73761ac6aec3b2b80b81ff
16,Natalia Souza,000.016.100-40,Consultor(a),COM,2016-01-06,9962.41,PJ,d7cc9a21-778a-4a6a-bda9-b675de59df2d,2026-01-10T10:30:00.000Z,ERP_CORPORATIVO,funcionarios,16,a15d1f6fac275d50e1bea2b0d4e2fb8016983885d2786b742f40dd95feb99d29
17,Leandro Correia,000.017.100-01,Gerente,COM,2021-07-06,21261.04,CLT,d7cc9a21-778a-4a6a-bda9-b675de59df2d,2026-01-10T10:30:00.000Z,ERP_CORPORATIVO,funcionarios,17,0ddc3a6ecced582da943c84166e7a2b31264e7959c138434f03906dbd1484267
18,Elaine Martins,000.018.100-57,Assistente Administrativo,COM,2020-07-18,3427.47,TEMPORARIO,d7cc9a21-778a-4a6a-bda9-b675de59df2d,2026-01-10T10:30:00.000Z,ERP_CORPORATIVO,funcionarios,18,13e9f6634f5fae1d3d60768a710157fe79df3ce16b8bca4bb9238d0e549102d1
19,Amanda Nunes,000.019.100-00,Gerente,COM,2020-05-04,15684.56,CLT,d7cc9a21-778a-4a6a-bda9-b675de59df2d,2026-01-10T10:30:00.000Z,ERP_CORPORATIVO,funcionarios,19,d0659a42bae2e90fecf533020291084646325d87df0d3d91fdd9e2db63f2bdb1
20,Beatriz Melo,000.020.100-62,Coordenador(a),COM,2015-11-03,14012.37,CLT,d7cc9a21-778a-4a6a-bda9-b675de59df2d,2026-01-10T10:30:00.000Z,ERP_CORPORATIVO,funcionarios,20,613f2eee8e8ec846c04441c3d8f40119de98be5237cb77fb83100f2919c450a3
21,Pedro Teixeira,000.021.100-16,Analista Pleno,COM,2016-04-30,6521.98,CLT,d7cc9a21-778a-4a6a-bda9-b675de59df2d,2026-01-10T10:30:00.000Z,ERP_CORPORATIVO,funcionarios,21,bf011c361f2aaae59f6f1f5119f7312363e8832e8714c47877bdfd1b9daa39e3
22,Tânia Dias,000.022.100-70,Assistente Administrativo,COM,2018-02-20,2370.92,PJ,d7cc9a21-778a-4a6a-bda9-b675de59df2d,2026-01-10T10:30:00.000Z,ERP_CORPORATIVO,funcionarios,22,3eac8093750c3d140c315a5fe0a97a58565870484fe79daef782cafe80c5391c
23,Matheus Pereira,000.023.100-23,Desenvolvedor(a) Sênior,TI,2019-02-26,11924.02,CLT,d7cc9a21-778a-4a6a-bda9-b675de59df2d,2026-01-10T10:30:00.000Z,ERP_CORPORATIVO,funcionarios,23,17b722d05d4d6c0ef3e16c6e36e8e812428ca71f0b56a5a3f537a4f268d6fae6
24,Beatriz Teixeira,000.024.100-87,Gerente,TI,2016-08-18,16151.12,CLT,d7cc9a21-778a-4a6a-bda9-b675de59df2d,2026-01-10T10:30:00.000Z,ERP_CORPORATIVO,funcionarios,24,f96a3eb25cf2e80e963d6033d00218a4891879f1968667f25c2090272184fd07
25,Eduardo Ferreira,000.025.100-30,Desenvolvedor(a) Júnior,TI,2016-08-15,5355.68,CLT,d7cc9a21-778a-4a6a-bda9-b675de59df2d,2026-01-10T10:30:00.000Z,ERP_CORPORATIVO,funcionarios,25,3a20203f98d2f7e40893e7d5710e3b71028c458017f954e227705019a76e76c6
26,Renato Lima,000.026.100-94,Desenvolvedor(a) Pleno,TI,2017-03-28,9289.54,TEMPORARIO,d7cc9a21-778a-4a6a-bda9-b675de59df2d,2026-01-10T10:30:00.000Z,ERP_CORPORATIVO,funcionarios,26,680882385433cd50f1c0499e5c6c1d640ba6cb3d5c23ca58d9ed368c751e7486
27,Camila Moreira,000.027.100-48,Gerente,TI,2019-06-17,14013.17,CLT,d7cc9a21-778a-4a6a-bda9-b675de59df2d,2026-01-10T10:30:00.000Z,ERP_CORPORATIVO,funcionarios,27,d45e7183a3299c555dac4cc82f24d98c9a57b18926b837ac4d235ad2762f249e
28,Larissa Vieira,000.028.100-00,Desenvolvedor(a) Sênior,TI,2015-12-09,16276.39,TEMPORARIO,d7cc9a21-778a-4a6a-bda9-b675de59df2d,2026-01-10T10:30:00.000Z,ERP_CORPORATIVO,funcionarios,28,2606736a8d7c1c6797459de4cd56dfc56c847d06cfcab4dfddb5e0b0b061507d
29,Jorge Teixeira,000.029.100-55,Analista Pleno,TI,2021-02-17,8145.61,CLT,d7cc9a21-778a-4a6a-bda9-b675de59df2d,2026-01-10T10:30:00.000Z,ERP_CORPORATIVO,funcionarios,29,90c4f076fb09137b32d1cbd6bf5984f26da1da24dbdce3b47178bfc2e3cff328
30,Beatriz Cardoso,000.030.100-07,Desenvolvedor(a) Júnior,TI,2017-03-07,4487.35,CLT,d7cc9a21-778a-4a6a-bda9-b675de59df2d,2026-01-10T10:30:00.000Z,ERP_CORPORATIVO,funcionarios,30,a18d79641cefaa0837a4ee7860175f9acc9cf598e59e14219be79aeb18b5515e
31,Paulo Martins,000.031.100-60,Desenvolvedor(a) Júnior,TI,2016-08-19,4776.54,CLT,d7cc9a21-778a-4a6a-bda9-b675de59df2d,2026-01-10T10:30:00.000Z,ERP_CORPORATIVO,funcionarios,31,2dd58f0046211d4a5edec24ec63100ba13c60e4858e4992e552e50671ccdc83d
32,Victor Martins,000.032.100-14,Gerente,TI,2023-01-04,19961.6,CLT,d7cc9a21-778a-4a6a-bda9-b675de59df2d,2026-01-10T10:30:00.000Z,ERP_CORPORATIVO,funcionarios,32,a467245b6deb3e0f85fc0d55b55766f760526ecb14f0ef43bfc4c6081ed2e34a
33,Gustavo Rocha,000.033.100-78,Desenvolvedor(a) Pleno,TI,2022-12-20,8226.89,CLT,d7cc9a21-778a-4a6a-bda9-b675de59df2d,2026-01-10T10:30:00.000Z,ERP_CORPORATIVO,funcionarios,33,e07f730cf37036ebe9f167b9f54f5c350f792b98bf79401211aced14d37d1e49
34,Vanessa Freitas,000.034.100-21,Gerente,TI,2018-02-19,19430.67,CLT,d7cc9a21-778a-4a6a-bda9-b675de59df2d,2026-01-10T10:30:00.000Z,ERP_CORPORATIVO,funcionarios,34,0705c70116e216e7ef6a64421a98eaad96b1fba7593c571bfb470ae29d03b8f2
35,Viviane Freitas,000.035.100-85,Analista Sênior,TI,2020-05-25,7393.75,ESTAGIO,d7cc9a21-778a-4a6a-bda9-b675de59df2d,2026-01-10T10:30:00.000Z,ERP_CORPORATIVO,funcionarios,35,091c785c346ec167eba82a865fdb50f4e01d93d3bbf371b67c9f77144c55f25b
36,Igor Rocha,000.036.100-39,Desenvolvedor(a) Júnior,TI,2018-03-06,4719.11,PJ,d7cc9a21-778a-4a6a-bda9-b675de59df2d,2026-01-10T10:30:00.000Z,ERP_CORPORATIVO,funcionarios,36,794704e542de6ef6856f8abaaf3fadabd43e3f7bdf33c81b1e459c6b5f67709c
37,Vanessa Freitas,000.037.100-92,Gerente,TI,2022-12-22,16343.89,CLT,d7cc9a21-778a-4a6a-bda9-b675de59df2d,2026-01-10T10:30:00.000Z,ERP_CORPORATIVO,funcionarios,37,3ba5ea861bbf190f8688c900042532fcad94f00f58b0c20691d6be61b04ac9ee
38,Henrique Moreira,000.038.100-46,Desenvolvedor(a) Pleno,TI,2015-12-24,7230.29,CLT,d7cc9a21-778a-4a6a-bda9-b675de59df2d,2026-01-10T10:30:00.000Z,ERP_CORPORATIVO,funcionarios,38,d8450a543bbea3e92db6c5deb0e80e324cf102df205bfeecd416b27d77a02a1e
39,Jorge Costa,000.039.100-08,Analista Sênior,TI,2018-02-11,11308.2,PJ,d7cc9a21-778a-4a6a-bda9-b675de59df2d,2026-01-10T10:30:00.000Z,ERP_CORPORATIVO,funcionarios,39,6ad5305b86dd290239a810f25094e7f9057e907790ee887df1b04a2e6b4343d7
40,Larissa Castro,000.040.100-51,Especialista,TI,2015-07-02,6100.11,ESTAGIO,d7cc9a21-778a-4a6a-bda9-b675de59df2d,2026-01-10T10:30:00.000Z,ERP_CORPORATIVO,funcionarios,40,e7a2b1b30d75df0219c0cb373f42bbefa33bbb05629468df36755b3add088992
41,Victor Moreira,000.041.100-05,Desenvolvedor(a) Sênior,TI,2020-10-30,13057.44,TEMPORARIO,d7cc9a21-778a-4a6a-bda9-b675de59df2d,2026-01-10T10:30:00.000Z,ERP_CORPORATIVO,funcionarios,41,d6b5904695a67799e3f6cfd061669cf81c57e79ba750d6069ac9688c83086fd5
42,Ana Silva,000.042.100-69,Desenvolvedor(a) Sênior,TI,2020-07-15,9426.81,CLT,d7cc9a21-778a-4a6a-bda9-b675de59df2d,2026-01-10T10:30:00.000Z,ERP_CORPORATIVO,funcionarios,42,1c86cf3aadafe55501fc45376e4cf43b3451d14b5cabf3cb1df5bad16afaf6d4
43,Simone Gomes,000.043.100-12,Desenvolvedor(a) Sênior,TI,2021-06-16,13479.55,CLT,d7cc9a21-778a-4a6a-bda9-b675de59df2d,2026-01-10T10:30:00.000Z,ERP_CORPORATIVO,funcionarios,43,d513b21d930834d10da7160b80db636311e042c6ac49402a1d4abe0413d7b2bf
44,Felipe Ferreira,000.044.100-76,Desenvolvedor(a) Júnior,TI,2015-01-07,5646.94,CLT,d7cc9a21-778a-4a6a-bda9-b675de59df2d,2026-01-10T10:30:00.000Z,ERP_CORPORATIVO,funcionarios,44,de4497f9493d3fec6d54614f68cbc9facd16de44f8d72d9a1a2ab402ed79b8a7
45,Sandra Cunha,000.045.100-20,Desenvolvedor(a) Júnior,TI,2021-07-14,4337.04,CLT,d7cc9a21-778a-4a6a-bda9-b675de59df2d,2026-01-10T10:30:00.000Z,ERP_CORPORATIVO,funcionarios,45,86164dfe094ca5556c4ed2f26fdd260dd4b82023b4518d381cdb408d04649b1b
46,Claudia Rocha,000.046.100-83,Desenvolvedor(a) Júnior,TI,2024-10-05,5753.98,ESTAGIO,d7cc9a21-778a-4a6a-bda9-b675de59df2d,2026-01-10T10:30:00.000Z,ERP_CORPORATIVO,funcionarios,46,f5a66aae97afcff804123f6c08e63d88cbbecebef61bc4a183c5edea0c7fbb2f
47,Claudia Carvalho,000.047.100-37,Especialista,TI,2019-07-11,6614.44,TEMPORARIO,d7cc9a21-778a-4a6a-bda9-b675de59df2d,2026-01-10T10:30:00.000Z,ERP_CORPORATIVO,funcionarios,47,57995e1f0db240db1f285a26af14f4e3dde1ed7c56e7fb4f9f72b08886bc1fdb
48,Juliana Araujo,000.048.100-90,Desenvolvedor(a) Júnior,TI,2022-12-04,3893.58,CLT,d7cc9a21-778a-4a6a-bda9-b675de59df2d,2026-01-10T10:30:00.000Z,ERP_CORPORATIVO,funcionarios,48,3c726941fa5ecd5c18e716c0181b0e10d691b85549eac1f1ab992ef62caa3cf0
49,Fernanda Moreira,000.049.100-44,Gerente,OP,2017-04-12,19873.85,TEMPORARIO,d7cc9a21-778a-4a6a-bda9-b675de59df2d,2026-01-10T10:30:00.000Z,ERP_CORPORATIVO,funcionarios,49,65029e8ed74cf8495c95ab932e67255b03ddc65b7dcb80042427517c1707ad2c
50,Carlos Silva,000.050.100-04,Analista Júnior,OP,2021-11-10,5162.35,ESTAGIO,d7cc9a21-778a-4a6a-bda9-b675de59df2d,2026-01-10T10:30:00.000Z,ERP_CORPORATIVO,funcionarios,50,41f41ef5dacd5d1b63a74b3a9024626057d6302a2338c8ccdda1548d04514278
51,Gabriela Correia,000.051.100-50,Gerente,OP,2016-05-16,19202.04,TEMPORARIO,d7cc9a21-778a-4a6a-bda9-b675de59df2d,2026-01-10T10:30:00.000Z,ERP_CORPORATIVO,funcionarios,51,aa547d89370a4d2ef4aa4704655cffa78848da4fae2506043809c3c0693ee3b0
52,Michele Nascimento,000.052.100-03,Analista Júnior,OP,2021-01-26,4848.14,CLT,d7cc9a21-778a-4a6a-bda9-b675de59df2d,2026-01-10T10:30:00.000Z,ERP_CORPORATIVO,funcionarios,52,e81a38d66dd6a449c99b2ce943555b51be212889ef8443c092aa6c395474ab71
53,Felipe Teixeira,000.053.100-67,Assistente Administrativo,OP,2017-01-02,3049.51,PJ,d7cc9a21-778a-4a6a-bda9-b675de59df2d,2026-01-10T10:30:00.000Z,ERP_CORPORATIVO,funcionarios,53,1220af3d90d2f7276cf92385bdb322fe41476649842dbf1b39600bd37c5147c5
54,Carla Cardoso,000.054.100-10,Analista Júnior,OP,2017-11-12,5751.72,TEMPORARIO,d7cc9a21-778a-4a6a-bda9-b675de59df2d,2026-01-10T10:30:00.000Z,ERP_CORPORATIVO,funcionarios,54,05d01d205b04f216d053c5065fc19c9ab75f311e86ec56c265a7a2e03e1b69e0
55,Renata Cunha,000.055.100-74,Técnico(a),OP,2018-12-14,3936.28,PJ,d7cc9a21-778a-4a6a-bda9-b675de59df2d,2026-01-10T10:30:00.000Z,ERP_CORPORATIVO,funcionarios,55,e040c60ed5f47ddb51516a0c8991b9214265049660080d64aecb3c962f0f508b
56,Felipe Ribeiro,000.056.100-28,Assistente Administrativo,OP,2019-12-24,3150.02,CLT,d7cc9a21-778a-4a6a-bda9-b675de59df2d,2026-01-10T10:30:00.000Z,ERP_CORPORATIVO,funcionarios,56,c983622b892d5b6fec8097c371b7fe37aa2ef2b076b8686c7ac72d28838b44d1
57,Tânia Barbosa,000.057.100-81,Analista Pleno,OP,2016-04-06,7777.97,CLT,d7cc9a21-778a-4a6a-bda9-b675de59df2d,2026-01-10T10:30:00.000Z,ERP_CORPORATIVO,funcionarios,57,52d3495102c6de3f383c9e85f2880662152dbaf8953dc6c75f0bbcfade0ccd53
58,Vinicius Castro,000.058.100-35,Especialista,OP,2021-07-07,8127.84,PJ,d7cc9a21-778a-4a6a-bda9-b675de59df2d,2026-01-10T10:30:00.000Z,ERP_CORPORATIVO,funcionarios,58,df5ffaf2e2b466cdffed9165460933e4d659e4dfa7223ececb0342d970c192f3
59,Carlos Mendes,000.059.100-99,Técnico(a),OP,2018-02-04,4596.44,CLT,d7cc9a21-778a-4a6a-bda9-b675de59df2d,2026-01-10T10:30:00.000Z,ERP_CORPORATIVO,funcionarios,59,73af90279ba70b503b5061322db8be029da8e9c908f8e7295a2105a67b04961d
60,Simone Moraes,000.060.100-40,Analista Pleno,OP,2018-12-09,7377.3,TEMPORARIO,d7cc9a21-778a-4a6a-bda9-b675de59df2d,2026-01-10T10:30:00.000Z,ERP_CORPORATIVO,funcionarios,60,ab9566836bd074d152dcd9883517b36f10d7c5328bfbcc17ab39350a2ad0c393
61,Jorge Pereira,000.061.100-02,Coordenador(a),OP,2015-11-02,11179.97,CLT,d7cc9a21-778a-4a6a-bda9-b675de59df2d,2026-01-10T10:30:00.000Z,ERP_CORPORATIVO,funcionarios,61,883ad11d5e18b2587c7a2f18794f0c852735ebcaa6d1e050fe6f83a5a97c548a
62,Simone Santos,000.062.100-58,Técnico(a),OP,2021-04-20,5289.44,ESTAGIO,d7cc9a21-778a-4a6a-bda9-b675de59df2d,2026-01-10T10:30:00.000Z,ERP_CORPORATIVO,funcionarios,62,b710741719052262c66fb5833ffc30839f165bd43d2f3334b53d47b1384e1c2c
63,Sandra Freitas,000.063.100-01,Analista Júnior,OP,2022-04-13,5360.17,TEMPORARIO,d7cc9a21-778a-4a6a-bda9-b675de59df2d,2026-01-10T10:30:00.000Z,ERP_CORPORATIVO,funcionarios,63,c8b4823243aea14eece24d0c4181a9dadc0aa366dd0cff04d03ebf6fba26515e
64,Lucas Barbosa,000.064.100-65,Analista Júnior,OP,2018-11-11,5823.71,PJ,d7cc9a21-778a-4a6a-bda9-b675de59df2d,2026-01-10T10:30:00.000Z,ERP_CORPORATIVO,funcionarios,64,b683fba8dbfce23e8bdb63c68354b9f662bf5a003741de391ab61343a32068f6
65,Natalia Cunha,000.065.100-19,Coordenador(a),OP,2023-07-26,14238.25,CLT,d7cc9a21-778a-4a6a-bda9-b675de59df2d,2026-01-10T10:30:00.000Z,ERP_CORPORATIVO,funcionarios,65,c5d06152414b9b7f3a52994909cddfae6aa32529b12eb434324941c480f859f6
66,Rodrigo Castro,000.066.100-72,Gerente,OP,2019-11-15,15203.33,CLT,d7cc9a21-778a-4a6a-bda9-b675de59df2d,2026-01-10T10:30:00.000Z,ERP_CORPORATIVO,funcionarios,66,ca33b3057a8f1b232d7b864dbb47cd1cbba58b45b8e1c6012aff3236e3b2657c
67,Elaine Moraes,000.067.100-26,Analista Júnior,OP,2018-02-17,5225.07,CLT,d7cc9a21-778a-4a6a-bda9-b675de59df2d,2026-01-10T10:30:00.000Z,ERP_CORPORATIVO,funcionarios,67,85640e34fe0bab8c65598ee33346657430e4c82f9cad89d157c622972f81cc9a
68,Leandro Mendes,000.068.100-80,Analista Pleno,OP,2021-05-02,5235.47,ESTAGIO,d7cc9a21-778a-4a6a-bda9-b675de59df2d,2026-01-10T10:30:00.000Z,ERP_CORPORATIVO,funcionarios,68,4d5a507742c51b4f7bf49b85ea48ac288aa732cac7b6725fbe4808a3742c22d1
69,Fernando Cunha,000.069.100-33,Coordenador(a),OP,2020-10-19,9412.49,CLT,d7cc9a21-778a-4a6a-bda9-b675de59df2d,2026-01-10T10:30:00.000Z,ERP_CORPORATIVO,funcionarios,69,e81955239fbc9d69d053be54619f671c0557bd91a54f3db1abbdd7841682e3d6
70,Gabriela Castro,000.070.100-95,Especialista,OP,2018-03-20,9615.31,CLT,d7cc9a21-778a-4a6a-bda9-b675de59df2d,2026-01-10T10:30:00.000Z,ERP_CORPORATIVO,funcionarios,70,5c5bd76cd11275d43b3b7965c8c0498df569b0849d25a7af859b96209549edaf
71,Carlos Carvalho,000.071.100-49,Analista Júnior,RH,2023-05-20,5380.02,CLT,d7cc9a21-778a-4a6a-bda9-b675de59df2d,2026-01-10T10:30:00.000Z,ERP_CORPORATIVO,funcionarios,71,941da8ec6e86706ed9d599afe75bedf646a40f203a52053afabd397c98b85752
72,Michele Cardoso,000.072.100-00,Assistente Administrativo,RH,2018-09-22,2731.69,ESTAGIO,d7cc9a21-778a-4a6a-bda9-b675de59df2d,2026-01-10T10:30:00.000Z,ERP_CORPORATIVO,funcionarios,72,156746d242dba37b350afc2f0fe37ae3d0a310c6f2b6d920d4806f56999196ca
73,Carla Ferreira,000.073.100-56,Analista Júnior,RH,2020-06-05,5896.12,CLT,d7cc9a21-778a-4a6a-bda9-b675de59df2d,2026-01-10T10:30:00.000Z,ERP_CORPORATIVO,funcionarios,73,2b4c07c97fc7da10450cf1c4107e6ebf8d2e1433ab2198d59c37973a5699ccd7
74,Gabriela Pinto,000.074.100-00,Analista Sênior,RH,2020-12-05,7021.82,PJ,d7cc9a21-778a-4a6a-bda9-b675de59df2d,2026-01-10T10:30:00.000Z,ERP_CORPORATIVO,funcionarios,74,fd0c52721ceb5f97adc2df03fc43c857cca428d4073d31e1325abaeec0eb1702
75,Carlos Lima,000.075.100-63,Gerente,RH,2018-02-25,15497.42,PJ,d7cc9a21-778a-4a6a-bda9-b675de59df2d,2026-01-10T10:30:00.000Z,ERP_CORPORATIVO,funcionarios,75,dca951c23c9bb8f1fb5741f568301fd383fe3d64499eacd956d1e82113bf4805
76,Cristiane Souza,000.076.100-17,Analista Júnior,RH,2018-11-21,3993.71,CLT,d7cc9a21-778a-4a6a-bda9-b675de59df2d,2026-01-10T10:30:00.000Z,ERP_CORPORATIVO,funcionarios,76,c7c4015b21b7c912a7ce2942e49ec2b8a90f0702d92766f3c40ced1803d1ac45
77,Aline Moreira,000.077.100-70,Assistente Administrativo,RH,2023-12-04,2987.66,PJ,d7cc9a21-778a-4a6a-bda9-b675de59df2d,2026-01-10T10:30:00.000Z,ERP_CORPORATIVO,funcionarios,77,d489bc31b53af7371732a1ceea5606f58fc7833a4e6fc7e06a1f802273cbc9f0
78,Gabriela Costa,000.078.100-24,Analista Júnior,RH,2022-09-19,5824.04,PJ,d7cc9a21-778a-4a6a-bda9-b675de59df2d,2026-01-10T10:30:00.000Z,ERP_CORPORATIVO,funcionarios,78,235a3449fdbd8545b72d85602bfe4d97ad7469a1da83beec7c00ba119c6f75e8
79,Marcos Teixeira,000.079.100-88,Coordenador(a),RH,2023-06-06,9961.72,CLT,d7cc9a21-778a-4a6a-bda9-b675de59df2d,2026-01-10T10:30:00.000Z,ERP_CORPORATIVO,funcionarios,79,29247ab3e3cb05d71db31dd9f504d2120d5d85b363f353d043fa3ea17a3539d2
80,Gabriela Monteiro,000.080.100-30,Analista Júnior,RH,2020-02-21,4569.71,PJ,d7cc9a21-778a-4a6a-bda9-b675de59df2d,2026-01-10T10:30:00.000Z,ERP_CORPORATIVO,funcionarios,80,712765483c6bb441761e0b81d466d05bc89197930cd7a500d565b9155cdaad28
81,Leonardo Melo,000.081.100-93,Especialista,FIN,2019-05-07,8325.82,CLT,d7cc9a21-778a-4a6a-bda9-b675de59df2d,2026-01-10T10:30:00.000Z,ERP_CORPORATIVO,funcionarios,81,08a076fe667e28f446bd8879ad81102a7bd84d4b40889bdc71ead98c8007cb1b
82,Juliana Mendes,000.082.100-47,Analista Sênior,FIN,2021-01-13,11275.62,CLT,d7cc9a21-778a-4a6a-bda9-b675de59df2d,2026-01-10T10:30:00.000Z,ERP_CORPORATIVO,funcionarios,82,97d1c8e794f0db64d968b955db00cde81c438e271c93c5dda69ea98aa79a8a49
83,Henrique Oliveira,000.083.100-09,Assistente Administrativo,FIN,2020-06-25,3971.9,CLT,d7cc9a21-778a-4a6a-bda9-b675de59df2d,2026-01-10T10:30:00.000Z,ERP_CORPORATIVO,funcionarios,83,9476231220ec09431b058080e4b0587aed0b86c7f117e608214dfcfa2763a104
84,Priscila Cardoso,000.084.100-54,Especialista,FIN,2015-06-12,8388.64,CLT,d7cc9a21-778a-4a6a-bda9-b675de59df2d,2026-01-10T10:30:00.000Z,ERP_CORPORATIVO,funcionarios,84,7bf26893b2d043518081e044f08d44daad7d604a9fe812c30b9f6a54e4c162e7
85,Renato Santos,000.085.100-08,Analista Pleno,FIN,2018-07-06,7146.82,CLT,d7cc9a21-778a-4a6a-bda9-b675de59df2d,2026-01-10T10:30:00.000Z,ERP_CORPORATIVO,funcionarios,85,66dc5fc6b1a7b8160224512d02529a6c3b361db085260bb2b5382836d9ca16f9
86,Ana Rodrigues,000.086.100-61,Analista Júnior,FIN,2024-01-28,5455.51,ESTAGIO,d7cc9a21-778a-4a6a-bda9-b675de59df2d,2026-01-10T10:30:00.000Z,ERP_CORPORATIVO,funcionarios,86,9389c6ea7dbeaeeaf1e0bad603b7d9d390536074797400ca499025cf43408798
87,Marina Dias,000.087.100-15,Analista Pleno,FIN,2023-06-21,8259.3,TEMPORARIO,d7cc9a21-778a-4a6a-bda9-b675de59df2d,2026-01-10T10:30:00.000Z,ERP_CORPORATIVO,funcionarios,87,433e0906019e6e31c6e14ba7169526093dce4278a945037f7eef26218012b8c2
88,Juliana Moraes,000.088.100-79,Coordenador(a),FIN,2020-06-03,9019.59,PJ,d7cc9a21-778a-4a6a-bda9-b675de59df2d,2026-01-10T10:30:00.000Z,ERP_CORPORATIVO,funcionarios,88,50d13324f530f01eb845ff1034fdd5ee0a1513091c7993fa63ad8c01f03ec0b7
